config_id,status,neg_ratio,recall,index_predicates,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,6.7548,0.9025,False,0.39,0.971429,0.972973,0.972973,0.972973,66.05,2320.3
2,OK,3.204,0.914,True,0.51,0.971429,0.945946,0.945946,0.945946,67.43,2308.3
3,OK,7.0903,0.9892,True,0.38,0.971429,0.972973,0.972973,0.972973,75.69,2341.4
4,OK,6.3144,0.9032,True,0.39,0.971429,0.972973,0.972973,0.972973,73.92,2304.4
5,OK,2.9677,0.9505,True,0.53,0.971429,0.945946,0.945946,0.945946,67.38,2326.9
6,OK,6.0512,0.9716,False,0.4,0.971429,0.973684,1.0,0.986667,73.6,2341.5
7,OK,2.984,0.9589,True,0.53,0.971429,0.945946,0.945946,0.945946,69.27,2331.0
8,OK,7.8293,0.916,False,0.29,0.971429,0.973684,1.0,0.986667,72.44,2314.1
9,OK,4.0623,0.9155,False,0.46,0.971429,0.947368,0.972973,0.96,64.8,2296.1
10,OK,1.9199,0.938,False,0.61,0.971429,0.945946,0.945946,0.945946,61.23,2273.1
11,OK,8.6274,0.9604,True,0.28,0.971429,0.973684,1.0,0.986667,80.74,2321.6
12,OK,7.5676,0.9536,False,0.36,0.971429,0.972973,0.972973,0.972973,75.55,2305.6
13,OK,1.7092,0.9293,False,0.59,0.957746,0.944444,0.918919,0.931507,59.46,2281.4
14,OK,6.1962,0.9705,True,0.39,0.971429,0.972973,0.972973,0.972973,88.98,2318.8
15,OK,6.9514,0.9773,True,0.38,0.971429,0.972973,0.972973,0.972973,94.21,2320.9
16,OK,8.6979,0.9866,False,0.28,0.971429,0.973684,1.0,0.986667,75.61,2323.3
17,OK,3.5018,0.9636,False,0.52,0.971429,0.945946,0.945946,0.945946,63.89,2288.5
18,OK,2.4639,0.9355,False,0.53,0.971429,0.945946,0.945946,0.945946,61.17,2300.6
19,OK,7.3164,0.9684,True,0.36,0.971429,0.972973,0.972973,0.972973,78.12,2341.8
20,OK,6.4822,0.9171,True,0.43,0.971429,0.972973,0.972973,0.972973,78.75,2342.7
21,OK,2.4706,0.9379,True,0.53,0.971429,0.945946,0.945946,0.945946,69.98,2296.9
22,OK,7.1615,0.9843,True,0.36,0.971429,0.972973,0.972973,0.972973,79.84,2360.2
23,OK,3.0614,0.9032,False,0.52,0.971429,0.945946,0.945946,0.945946,62.97,2316.7
24,OK,4.6105,0.9066,False,0.46,0.971429,0.947368,0.972973,0.96,66.57,2312.1
25,OK,2.9136,0.9499,False,0.54,0.971429,0.945946,0.945946,0.945946,78.89,2301.2
26,OK,2.2858,0.914,False,0.53,0.971429,0.945946,0.945946,0.945946,61.92,2323.6
27,OK,7.7231,0.9428,False,0.29,0.971429,0.973684,1.0,0.986667,73.57,2320.1
28,OK,4.258,0.9997,True,0.46,0.971429,0.947368,0.972973,0.96,84.23,2311.3
29,OK,5.5857,0.9091,True,0.4,0.971429,0.973684,1.0,0.986667,72.77,2359.1
30,OK,8.7499,0.9153,True,0.28,0.971429,0.973684,1.0,0.986667,89.03,2332.6
31,OK,8.1287,0.9422,True,0.29,0.971429,0.973684,1.0,0.986667,77.52,2336.9
32,OK,4.4629,0.9596,False,0.46,0.971429,0.947368,0.972973,0.96,62.83,2282.6
33,OK,5.762,0.9971,True,0.4,0.971429,0.973684,1.0,0.986667,78.34,2330.5
34,OK,7.1226,0.9115,False,0.38,0.971429,0.972973,0.972973,0.972973,77.65,2311.7
35,OK,7.9174,0.934,False,0.29,0.971429,0.973684,1.0,0.986667,73.77,2326.4
36,OK,4.9129,0.9454,False,0.45,0.971429,0.972973,0.972973,0.972973,65.85,2316.3
37,OK,9.747,0.9762,True,0.27,0.971429,0.973684,1.0,0.986667,79.97,2331.0
38,OK,8.8347,0.9298,True,0.28,0.971429,0.973684,1.0,0.986667,93.5,2354.3
39,OK,2.3756,0.9763,True,0.53,0.971429,0.945946,0.945946,0.945946,66.0,2281.4
40,OK,6.3905,0.9489,True,0.38,0.971429,0.973684,1.0,0.986667,76.4,2322.9
41,OK,9.3619,0.9879,False,0.27,0.971429,0.973684,1.0,0.986667,80.47,2334.5
42,OK,3.1551,0.9241,True,0.51,0.971429,0.945946,0.945946,0.945946,68.29,2292.2
43,OK,1.7709,0.9486,True,0.58,0.957746,0.944444,0.918919,0.931507,64.21,2283.6
44,OK,9.8019,0.9533,True,0.27,0.971429,0.973684,1.0,0.986667,80.82,2348.2
45,OK,2.1555,0.9475,True,0.61,0.971429,0.945946,0.945946,0.945946,65.13,2299.3
46,OK,3.3855,0.9872,False,0.54,0.971429,0.945946,0.945946,0.945946,60.75,2296.1
47,OK,9.6793,0.9929,True,0.27,0.971429,0.973684,1.0,0.986667,78.44,2343.5
48,OK,7.4165,0.9399,False,0.36,0.971429,0.972973,0.972973,0.972973,72.26,2353.2
49,OK,4.9429,0.9518,True,0.45,0.971429,0.972973,0.972973,0.972973,71.27,2350.7
50,OK,3.2312,0.9064,True,0.51,0.971429,0.945946,0.945946,0.945946,67.47,2296.9
