config_id,status,neg_ratio,recall,index_predicates,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,6.7548,0.9025,False,0.92,0.756303,1.0,0.593502,0.744903,326.85,1788.6
2,OK,3.204,0.914,True,0.92,0.756303,1.0,0.593502,0.744903,496.09,1820.5
3,OK,7.0903,0.9892,True,0.92,0.756303,1.0,0.593502,0.744903,401.73,1785.3
4,OK,6.3144,0.9032,True,0.92,0.756303,1.0,0.593502,0.744903,492.85,1795.2
5,OK,2.9677,0.9505,True,0.92,0.756303,1.0,0.593502,0.744903,399.62,1798.6
6,OK,6.0512,0.9716,False,0.92,0.756303,1.0,0.593502,0.744903,312.41,1790.3
7,OK,2.984,0.9589,True,0.92,0.756303,1.0,0.593502,0.744903,392.91,1794.7
8,OK,7.8293,0.916,False,0.92,0.756303,1.0,0.593502,0.744903,325.78,1784.1
9,OK,4.0623,0.9155,False,0.92,0.756303,1.0,0.593502,0.744903,344.21,1787.7
10,OK,1.9199,0.938,False,0.96,0.753254,1.0,0.584435,0.737721,337.66,1787.1
11,OK,8.6274,0.9604,True,0.92,0.756303,1.0,0.593502,0.744903,403.66,1805.8
12,OK,7.5676,0.9536,False,0.92,0.756303,1.0,0.593502,0.744903,326.83,1789.9
13,OK,1.7092,0.9293,False,0.94,0.749316,1.0,0.606725,0.755232,337.29,1788.9
14,OK,6.1962,0.9705,True,0.92,0.756303,1.0,0.593502,0.744903,439.18,1784.8
15,OK,6.9514,0.9773,True,0.92,0.756303,1.0,0.593502,0.744903,398.85,1791.5
16,OK,8.6979,0.9866,False,0.92,0.756303,1.0,0.593502,0.744903,319.37,1788.5
17,OK,3.5018,0.9636,False,0.92,0.756303,1.0,0.593502,0.744903,315.2,1786.1
18,OK,2.4639,0.9355,False,0.94,0.756126,1.0,0.576124,0.731064,321.82,1786.9
19,OK,7.3164,0.9684,True,0.92,0.756303,1.0,0.593502,0.744903,392.26,1793.9
20,OK,6.4822,0.9171,True,0.92,0.756303,1.0,0.593502,0.744903,493.89,1800.1
21,OK,2.4706,0.9379,True,0.91,0.755085,1.0,0.599169,0.74935,397.66,1780.6
22,OK,7.1615,0.9843,True,0.92,0.756303,1.0,0.593502,0.744903,390.01,1789.9
23,OK,3.0614,0.9032,False,0.92,0.756303,1.0,0.593502,0.744903,338.73,1785.1
24,OK,4.6105,0.9066,False,0.92,0.756303,1.0,0.593502,0.744903,331.18,1785.8
25,OK,2.9136,0.9499,False,0.92,0.755382,1.0,0.59388,0.7452,314.27,1799.9
26,OK,2.2858,0.914,False,0.92,0.751025,1.0,0.604458,0.753473,328.96,1787.2
27,OK,7.7231,0.9428,False,0.92,0.756303,1.0,0.593502,0.744903,319.1,1784.7
28,OK,4.258,0.9997,True,0.92,0.756303,1.0,0.593502,0.744903,413.26,1784.0
29,OK,5.5857,0.9091,True,0.92,0.756303,1.0,0.593502,0.744903,500.58,1800.3
30,OK,8.7499,0.9153,True,0.92,0.756303,1.0,0.593502,0.744903,515.06,1821.3
31,OK,8.1287,0.9422,True,0.92,0.756303,1.0,0.593502,0.744903,387.79,1783.2
32,OK,4.4629,0.9596,False,0.92,0.756303,1.0,0.593502,0.744903,317.52,1795.6
33,OK,5.762,0.9971,True,0.92,0.756303,1.0,0.593502,0.744903,396.44,1792.2
34,OK,7.1226,0.9115,False,0.92,0.756303,1.0,0.593502,0.744903,375.02,1791.5
35,OK,7.9174,0.934,False,0.92,0.756303,1.0,0.593502,0.744903,322.3,1788.4
36,OK,4.9129,0.9454,False,0.92,0.756303,1.0,0.593502,0.744903,323.3,1791.8
37,OK,9.747,0.9762,True,0.92,0.756303,1.0,0.593502,0.744903,393.24,1796.1
38,OK,8.8347,0.9298,True,0.92,0.756303,1.0,0.593502,0.744903,394.37,1792.7
39,OK,2.3756,0.9763,True,0.95,0.752384,1.0,0.579902,0.734099,388.66,1784.8
40,OK,6.3905,0.9489,True,0.92,0.756303,1.0,0.593502,0.744903,400.28,1787.9
41,OK,9.3619,0.9879,False,0.92,0.756303,1.0,0.593502,0.744903,312.48,1796.5
42,OK,3.1551,0.9241,True,0.92,0.756303,1.0,0.593502,0.744903,416.1,1813.9
43,OK,1.7709,0.9486,True,0.94,0.749179,1.0,0.604458,0.753473,420.0,1794.0
44,OK,9.8019,0.9533,True,0.92,0.756303,1.0,0.593502,0.744903,403.52,1795.8
45,OK,2.1555,0.9475,True,0.95,0.749504,1.0,0.592369,0.744009,411.23,1783.2
46,OK,3.3855,0.9872,False,0.92,0.756303,1.0,0.593502,0.744903,315.25,1786.7
47,OK,9.6793,0.9929,True,0.92,0.756303,1.0,0.593502,0.744903,388.14,1787.3
