config_id,status,neg_ratio,recall,index_predicates,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,6.7548,0.9025,False,0.4,0.5,0.417671,0.517413,0.462222,91.41,2277.6
2,OK,3.204,0.914,True,0.58,0.505495,0.40625,0.517413,0.455142,96.7,2253.9
3,OK,7.0903,0.9892,True,0.39,0.501129,0.419355,0.517413,0.463252,93.19,2287.7
4,OK,6.3144,0.9032,True,0.42,0.5,0.422764,0.517413,0.465324,99.6,2276.5
5,OK,2.9677,0.9505,True,0.59,0.497872,0.396296,0.532338,0.454352,91.79,2268.2
6,OK,6.0512,0.9716,False,0.42,0.498876,0.411067,0.517413,0.45815,98.6,2287.5
7,OK,2.984,0.9589,True,0.59,0.498934,0.399254,0.532338,0.45629,93.56,2277.2
8,OK,7.8293,0.916,False,0.35,0.497854,0.396226,0.522388,0.450644,90.07,2291.0
9,OK,4.0623,0.9155,False,0.54,0.5,0.422131,0.512438,0.462921,94.68,2283.6
10,OK,1.9199,0.938,False,0.69,0.496644,0.413655,0.512438,0.457778,92.11,2264.9
11,OK,8.6274,0.9604,True,0.35,0.496614,0.423868,0.512438,0.463964,91.1,2269.3
12,OK,7.5676,0.9536,False,0.37,0.497758,0.411067,0.517413,0.45815,96.8,2295.4
13,OK,1.7092,0.9293,False,0.71,0.5,0.409449,0.517413,0.457143,90.39,2274.1
14,OK,6.1962,0.9705,True,0.42,0.5,0.419355,0.517413,0.463252,98.78,2283.1
15,OK,6.9514,0.9773,True,0.39,0.497758,0.407843,0.517413,0.45614,94.13,2278.1
16,OK,8.6979,0.9866,False,0.34,0.497758,0.417671,0.517413,0.462222,89.85,2285.7
17,OK,3.5018,0.9636,False,0.58,0.497738,0.42623,0.517413,0.467416,93.95,2283.8
18,OK,2.4639,0.9355,False,0.64,0.502183,0.403846,0.522388,0.455531,89.53,2279.4
19,OK,7.3164,0.9684,True,0.37,0.5,0.39924,0.522388,0.452586,94.44,2265.9
20,OK,6.4822,0.9171,True,0.41,0.5,0.419355,0.517413,0.463252,97.45,2293.1
21,OK,2.4706,0.9379,True,0.63,0.498934,0.395522,0.527363,0.452026,100.73,2261.6
22,OK,7.1615,0.9843,True,0.37,0.497854,0.396226,0.522388,0.450644,90.4,2276.9
23,OK,3.0614,0.9032,False,0.6,0.498886,0.410359,0.512438,0.455752,89.36,2278.1
24,OK,4.6105,0.9066,False,0.51,0.498866,0.421488,0.507463,0.460497,94.92,2281.8
25,OK,2.9136,0.9499,False,0.6,0.497835,0.4,0.527363,0.454936,89.5,2265.7
26,OK,2.2858,0.914,False,0.66,0.503311,0.40873,0.512438,0.454746,92.76,2267.2
27,OK,7.7231,0.9428,False,0.37,0.498876,0.417671,0.517413,0.462222,94.03,2291.0
28,OK,4.258,0.9997,True,0.5,0.5,0.396296,0.532338,0.454352,98.18,2283.4
29,OK,5.5857,0.9091,True,0.45,0.5,0.420408,0.512438,0.461883,90.72,2286.2
30,OK,8.7499,0.9153,True,0.34,0.498876,0.419355,0.517413,0.463252,101.05,2270.1
31,OK,8.1287,0.9422,True,0.35,0.496674,0.410156,0.522388,0.459519,98.86,2289.6
32,OK,4.4629,0.9596,False,0.51,0.496614,0.415323,0.512438,0.458797,94.56,2277.3
33,OK,5.762,0.9971,True,0.44,0.5,0.420408,0.512438,0.461883,93.81,2287.2
34,OK,7.1226,0.9115,False,0.39,0.501129,0.419355,0.517413,0.463252,103.59,2291.9
35,OK,7.9174,0.934,False,0.36,0.498886,0.411067,0.517413,0.45815,96.97,2293.0
36,OK,4.9129,0.9454,False,0.49,0.5,0.417004,0.512438,0.459821,98.77,2288.4
37,OK,9.747,0.9762,True,0.32,0.496614,0.423868,0.512438,0.463964,96.21,2287.3
38,OK,8.8347,0.9298,True,0.33,0.495575,0.410156,0.522388,0.459519,90.8,2278.5
39,OK,2.3756,0.9763,True,0.65,0.503311,0.404669,0.517413,0.454148,91.73,2257.4
40,OK,6.3905,0.9489,True,0.41,0.497758,0.414343,0.517413,0.460177,97.2,2283.7
41,OK,9.3619,0.9879,False,0.33,0.496614,0.42562,0.512438,0.465011,94.45,2293.6
42,OK,3.1551,0.9241,True,0.58,0.503254,0.400763,0.522388,0.453564,96.6,2276.9
43,OK,1.7709,0.9486,True,0.7,0.5,0.4,0.517413,0.451193,93.39,2263.0
44,OK,9.8019,0.9533,True,0.31,0.495536,0.416,0.517413,0.461197,96.1,2286.4
45,OK,2.1555,0.9475,True,0.66,0.497835,0.404669,0.517413,0.454148,91.25,2271.9
46,OK,3.3855,0.9872,False,0.58,0.497738,0.42449,0.517413,0.466368,92.2,2283.9
47,OK,9.6793,0.9929,True,0.32,0.495495,0.42623,0.517413,0.467416,98.21,2290.3
48,OK,7.4165,0.9399,False,0.38,0.5,0.416,0.517413,0.461197,98.26,2289.1
49,OK,4.9429,0.9518,True,0.48,0.498886,0.409449,0.517413,0.457143,97.26,2286.2
50,OK,3.2312,0.9064,True,0.58,0.503311,0.407843,0.517413,0.45614,92.23,2274.7
