config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,SVM,,,,0.0036,none,0.62,0.850764,0.874704,0.885167,0.879905,17.05,331.9
2,OK,GradientBoosting,164,6,0.2236,,,0.09,0.923077,0.924485,0.966507,0.945029,17.63,267.3
3,OK,SVM,,,,5.05055,balanced,0.45,0.874854,0.913876,0.913876,0.913876,15.53,296.2
4,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.58,267.9
5,OK,LogisticRegression,,,,0.00144,balanced,0.73,0.862109,0.886574,0.916268,0.901176,15.86,268.5
6,OK,GradientBoosting,169,18,0.1846,,,0.01,0.897219,0.909739,0.916268,0.912992,16.02,267.0
7,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,13.03,270.3
8,OK,GradientBoosting,416,19,0.1317,,,0.93,0.898305,0.914634,0.897129,0.905797,17.4,269.0
9,OK,LogisticRegression,,,,0.88375,balanced,0.73,0.911628,0.922374,0.966507,0.943925,37.93,267.5
10,OK,GradientBoosting,407,15,0.1087,,,0.02,0.898551,0.911695,0.913876,0.912784,18.25,268.1
11,OK,GradientBoosting,160,12,0.0396,,,0.46,0.904704,0.905882,0.921053,0.913405,18.9,270.0
12,OK,LogisticRegression,,,,0.00304,none,0.34,0.864055,0.885584,0.925837,0.905263,14.51,269.3
13,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.58,265.4
14,OK,DecisionTree,,3,,,none,0.56,0.896894,0.956522,0.894737,0.924598,12.44,268.5
15,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.83,269.7
16,OK,RandomForest,243,4,,,none,0.68,0.915129,0.964377,0.906699,0.934649,13.47,266.4
17,OK,SVM,,,,1.23765,none,0.15,0.859107,0.875566,0.925837,0.9,14.02,282.6
18,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.43,266.8
19,OK,GradientBoosting,410,4,0.0233,,,0.5,0.92437,0.942857,0.947368,0.945107,20.37,266.2
20,OK,GradientBoosting,445,11,0.2957,,,0.57,0.922518,0.942857,0.947368,0.945107,16.81,269.3
21,OK,GradientBoosting,493,5,0.1202,,,0.09,0.921454,0.920273,0.966507,0.942824,24.53,266.6
22,OK,LogisticRegression,,,,1.50807,none,0.33,0.914747,0.918919,0.976077,0.946636,33.97,270.5
23,OK,GradientBoosting,239,13,0.0708,,,0.01,0.896635,0.912941,0.92823,0.920522,20.22,268.8
24,OK,DecisionTree,,4,,,balanced,0.72,0.900344,0.885714,0.964115,0.923253,12.54,267.7
25,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.73,268.5
26,OK,SVM,,,,0.01675,none,0.28,0.856487,0.858108,0.911483,0.883991,15.67,312.6
27,OK,LogisticRegression,,,,0.02237,balanced,0.81,0.888889,0.923261,0.921053,0.922156,17.1,269.7
28,OK,SVM,,,,0.04182,balanced,0.39,0.858131,0.869565,0.909091,0.888889,15.84,304.9
29,OK,GradientBoosting,470,3,0.2435,,,0.61,0.924188,0.940898,0.952153,0.946492,20.16,269.4
30,OK,LogisticRegression,,,,0.02181,balanced,0.81,0.888889,0.923261,0.921053,0.922156,17.42,266.8
31,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.51,269.4
32,OK,SVM,,,,0.03744,none,0.36,0.85848,0.884161,0.894737,0.889417,15.29,299.8
33,OK,LogisticRegression,,,,26.51037,none,0.7,0.917676,0.965087,0.925837,0.945055,37.06,266.8
34,OK,GradientBoosting,185,6,0.0815,,,0.3,0.919048,0.925926,0.956938,0.941176,18.04,269.5
35,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.63,269.4
36,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.66,268.7
37,OK,DecisionTree,,20,,,none,0.01,0.89697,0.908654,0.904306,0.906475,12.5,269.6
38,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.46,268.2
39,OK,LogisticRegression,,,,0.06456,balanced,0.86,0.894231,0.949749,0.904306,0.926471,19.37,270.4
40,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.55,266.3
41,OK,LogisticRegression,,,,0.00285,balanced,0.77,0.869159,0.902844,0.911483,0.907143,15.51,266.7
42,OK,RandomForest,128,7,,,none,0.38,0.921986,0.921839,0.95933,0.940211,12.95,266.6
43,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.84,269.8
44,OK,RandomForest,247,14,,,none,0.34,0.923977,0.916667,0.973684,0.944316,13.63,270.2
45,OK,NaiveBayes,,,,,,0.99,0.891705,0.896629,0.954545,0.924681,12.64,270.5
46,OK,DecisionTree,,19,,,balanced,0.01,0.896135,0.922892,0.916268,0.919568,12.64,267.6
47,OK,SVM,,,,4.01429,none,0.13,0.864368,0.885845,0.92823,0.906542,14.04,283.9
48,OK,SVM,,,,0.05022,none,0.25,0.858124,0.855234,0.91866,0.885813,14.7,295.0
49,OK,LogisticRegression,,,,0.00618,balanced,0.73,0.878331,0.903002,0.935407,0.918919,15.51,266.8
50,OK,SVM,,,,23.94775,none,0.67,0.885287,0.969863,0.84689,0.904215,14.32,279.2
