config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,SVM,,,,0.0036,none,0.09,0.255474,0.506173,0.212435,0.29927,82.06,5311.6
2,OK,GradientBoosting,164,6,0.2236,,,0.08,0.602299,0.531496,0.699482,0.604027,56.08,5310.8
3,OK,SVM,,,,5.05055,balanced,0.22,0.507216,0.407942,0.585492,0.480851,90.97,5308.3
4,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,49.57,5311.7
5,OK,LogisticRegression,,,,0.00144,balanced,0.75,0.462921,0.404858,0.518135,0.454545,39.53,5310.3
6,OK,GradientBoosting,169,18,0.1846,,,0.02,0.558511,0.59204,0.61658,0.604061,52.92,5311.3
7,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,40.84,5307.8
8,OK,GradientBoosting,416,19,0.1317,,,0.96,0.576369,0.65,0.53886,0.589235,97.93,5310.1
9,OK,LogisticRegression,,,,0.88375,balanced,0.94,0.565854,0.537445,0.632124,0.580952,43.75,5313.1
10,OK,GradientBoosting,407,15,0.1087,,,0.01,0.617486,0.643275,0.569948,0.604396,74.74,5310.0
11,OK,GradientBoosting,160,12,0.0396,,,0.04,0.588808,0.564103,0.683938,0.618267,51.16,5310.8
12,OK,LogisticRegression,,,,0.00304,none,0.16,0.384211,0.385787,0.393782,0.389744,35.2,5310.2
13,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,33.97,5308.7
14,OK,DecisionTree,,3,,,none,0.17,0.54267,0.515748,0.678756,0.58613,47.67,5310.1
15,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,34.09,5311.7
16,OK,RandomForest,243,4,,,none,0.3,0.594737,0.606965,0.632124,0.619289,34.64,5311.8
17,OK,SVM,,,,1.23765,none,0.05,0.512262,0.536313,0.497409,0.516129,40.65,5310.3
18,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,33.48,5309.4
19,OK,GradientBoosting,410,4,0.0233,,,0.32,0.610811,0.59,0.611399,0.600509,49.34,5309.3
20,OK,GradientBoosting,445,11,0.2957,,,0.01,0.627119,0.674286,0.611399,0.641304,69.96,5311.6
21,OK,GradientBoosting,493,5,0.1202,,,0.14,0.621212,0.601852,0.673575,0.635697,56.28,5310.7
22,OK,LogisticRegression,,,,1.50807,none,0.24,0.574257,0.555556,0.621762,0.586797,41.82,5308.5
23,OK,GradientBoosting,239,13,0.0708,,,0.01,0.616967,0.600962,0.647668,0.623441,61.93,5310.9
24,OK,DecisionTree,,4,,,balanced,0.87,0.523207,0.480287,0.694301,0.567797,32.93,5309.9
25,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,33.06,5311.9
26,OK,SVM,,,,0.01675,none,0.05,0.313993,0.542056,0.300518,0.386667,38.5,5310.6
27,OK,LogisticRegression,,,,0.02237,balanced,0.85,0.50101,0.421986,0.61658,0.501053,36.42,5307.8
28,OK,SVM,,,,0.04182,balanced,0.19,0.348958,0.368687,0.378238,0.373402,98.98,5312.0
29,OK,GradientBoosting,470,3,0.2435,,,0.12,0.608501,0.54902,0.725389,0.625,46.37,5308.8
30,OK,LogisticRegression,,,,0.02181,balanced,0.85,0.50101,0.419929,0.611399,0.49789,36.52,5309.5
31,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,37.33,5311.4
32,OK,SVM,,,,0.03744,none,0.05,0.301887,0.276316,0.326425,0.299287,39.43,5312.4
33,OK,LogisticRegression,,,,26.51037,none,0.21,0.577367,0.530612,0.673575,0.593607,44.3,5310.3
34,OK,GradientBoosting,185,6,0.0815,,,0.25,0.627968,0.610837,0.642487,0.626263,43.43,5308.3
35,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,34.81,5309.6
36,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,33.05,5311.6
37,OK,DecisionTree,,20,,,none,0.51,0.504021,0.517588,0.533679,0.52551,33.37,5310.3
38,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,33.1,5311.5
39,OK,LogisticRegression,,,,0.06456,balanced,0.93,0.513089,0.515464,0.518135,0.516796,38.65,5312.3
40,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,34.1,5310.9
41,OK,LogisticRegression,,,,0.00285,balanced,0.74,0.487129,0.385666,0.585492,0.465021,35.94,5312.5
42,OK,RandomForest,128,7,,,none,0.31,0.622691,0.630208,0.626943,0.628571,34.01,5312.8
43,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,33.06,5311.8
44,OK,RandomForest,247,14,,,none,0.31,0.659898,0.617925,0.678756,0.646914,35.23,5312.3
45,OK,NaiveBayes,,,,,,0.99,0.454545,0.338362,0.813472,0.47793,33.01,5309.6
46,OK,DecisionTree,,19,,,balanced,0.93,0.528678,0.563452,0.57513,0.569231,33.29,5311.4
47,OK,SVM,,,,4.01429,none,0.05,0.509485,0.535912,0.502591,0.518717,41.17,5308.7
48,OK,SVM,,,,0.05022,none,0.06,0.346021,0.547368,0.26943,0.361111,39.31,5309.6
49,OK,LogisticRegression,,,,0.00618,balanced,0.77,0.5,0.392857,0.626943,0.483034,36.11,5311.3
50,OK,SVM,,,,23.94775,none,0.06,0.538462,0.497817,0.590674,0.540284,41.81,5310.2
