config_id,status,vectorizer,similarity_distance,top_k,similarity_threshold,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,smpnet,cosine,48,0.275,0.275,0.166667,0.169941,1.0,0.290512,128.39,1137.2
2,OK,st5,cosine,48,0.1025,0.1025,0.166667,0.169941,1.0,0.290512,452.24,2607.6
3,OK,xlnet,cosine,38,0.4219,0.4219,0.166667,0.169941,1.0,0.290512,398.97,2782.5
4,OK,sminilm,cosine,14,0.2327,0.2327,0.207901,0.211354,1.0,0.348955,42.41,862.9
5,OK,albert,cosine,36,0.1988,0.1988,0.166667,0.169941,1.0,0.290512,282.2,2419.3
6,OK,xlnet,euclidean,15,0.4492,0.4492,0.03392,1.0,0.009822,0.019454,425.35,2796.1
7,OK,sent_glove,cosine,49,0.8058,0.8058,0.171246,0.208721,1.0,0.345358,21.68,1756.0
8,OK,distilbert,euclidean,18,0.1555,0.1555,0.190715,0.183044,0.784662,0.296842,136.41,1962.5
9,OK,bert,cosine,6,0.3799,0.3799,0.166667,0.169941,1.0,0.290512,253.72,2099.9
10,OK,bert,euclidean,39,0.2645,0.2645,0.118919,1.0,0.027956,0.054392,232.39,2090.3
11,OK,sminilm,euclidean,35,0.1248,0.1248,0.166667,0.169941,1.0,0.290512,42.3,854.2
12,OK,distilbert,cosine,36,0.2932,0.2932,0.166667,0.169941,1.0,0.290512,121.39,1921.2
13,OK,albert,euclidean,37,0.1923,0.1923,0.040075,1.0,0.014356,0.028305,271.19,2320.0
14,OK,smpnet,cosine,43,0.2279,0.2279,0.166667,0.169941,1.0,0.290512,118.98,1120.6
15,OK,sent_glove,cosine,15,0.8665,0.8665,0.226018,0.338913,0.894975,0.491647,6.73,1721.1
16,OK,distilbert,euclidean,30,0.6357,0.6357,0.106473,1.0,0.027578,0.053676,120.61,1997.8
17,OK,bert,cosine,24,0.3553,0.3553,0.166667,0.169941,1.0,0.290512,232.79,2081.6
18,OK,sent_glove,cosine,39,0.635,0.635,0.166667,0.169941,1.0,0.290512,8.28,1719.0
19,OK,xlnet,cosine,11,0.4623,0.4623,0.166667,0.169941,1.0,0.290512,421.32,2788.2
20,OK,sent_glove,cosine,44,0.3243,0.3243,0.166667,0.169941,1.0,0.290512,7.04,1719.0
21,OK,sminilm,cosine,3,0.805,0.805,0.612234,1.0,0.270495,0.42581,42.22,866.6
22,OK,distilbert,euclidean,5,0.211,0.211,0.698011,0.615193,0.373253,0.464613,121.12,2015.2
23,OK,albert,euclidean,14,0.6554,0.6554,0.03392,1.0,0.010578,0.020935,270.78,2480.1
24,OK,distilbert,euclidean,10,0.2649,0.2649,0.55678,0.920844,0.263695,0.409985,121.24,2000.4
25,OK,st5,euclidean,48,0.5846,0.5846,0.166667,0.169941,1.0,0.290512,443.71,2608.8
26,OK,albert,euclidean,24,0.2193,0.2193,0.038847,1.0,0.0136,0.026836,270.65,2401.8
27,OK,sdistilroberta,euclidean,6,0.7558,0.7558,0.694658,0.996104,0.579524,0.732744,64.9,970.6
28,OK,smpnet,cosine,41,0.16,0.16,0.166667,0.169941,1.0,0.290512,119.03,1117.3
29,OK,distilbert,cosine,25,0.3816,0.3816,0.166667,0.169941,1.0,0.290512,121.48,1917.7
30,OK,roberta,euclidean,36,0.8608,0.8608,0.30606,0.283628,0.278806,0.281196,249.27,2147.4
31,OK,sminilm,cosine,44,0.8848,0.8848,0.699622,1.0,0.612014,0.759316,43.22,863.2
32,OK,sent_glove,euclidean,8,0.2935,0.2935,0.240883,0.184108,0.999622,0.310947,7.45,1718.3
33,OK,sdistilroberta,euclidean,1,0.9538,0.9538,0.03392,1.0,0.009822,0.019454,65.29,971.6
34,OK,sent_glove,cosine,33,0.9126,0.9126,0.664608,0.989362,0.421609,0.591258,7.25,1721.3
35,OK,sent_glove,cosine,10,0.3739,0.3739,0.196762,0.169941,1.0,0.290512,7.32,1718.3
36,OK,sdistilroberta,cosine,39,0.3242,0.3242,0.166667,0.169941,1.0,0.290512,67.95,971.8
37,OK,sminilm,cosine,24,0.8787,0.8787,0.699622,1.0,0.618814,0.764527,42.58,846.0
38,OK,sent_glove,cosine,4,0.2409,0.2409,0.262607,0.243826,0.973555,0.389982,6.74,1721.1
39,OK,albert,cosine,6,0.7319,0.7319,0.166667,0.169941,1.0,0.290512,266.8,2364.6
40,OK,smpnet,cosine,9,0.6598,0.6598,0.646514,0.941034,0.73555,0.8257,117.41,1114.8
41,OK,xlnet,cosine,17,0.5277,0.5277,0.166667,0.169941,1.0,0.290512,419.92,2809.8
42,OK,albert,euclidean,14,0.9289,0.9289,0.03392,1.0,0.009822,0.019454,268.09,1759.6
43,OK,st5,euclidean,26,0.9951,0.9951,0.079755,1.0,0.019267,0.037806,441.16,2610.2
44,OK,bert,euclidean,34,0.4515,0.4515,0.064317,1.0,0.018512,0.03635,236.44,2082.8
45,OK,st5,cosine,5,0.3381,0.3381,0.340255,0.509877,0.624103,0.561237,444.32,2609.3
46,OK,albert,cosine,38,0.2202,0.2202,0.166667,0.169941,1.0,0.290512,271.85,2366.7
47,OK,smpnet,cosine,15,0.0674,0.0674,0.169762,0.171883,1.0,0.293345,118.7,1121.9
48,OK,sminilm,euclidean,5,0.5142,0.5142,0.676355,0.664879,0.562146,0.609212,41.85,848.3
49,OK,sent_glove,euclidean,14,0.5392,0.5392,0.684044,1.0,0.219116,0.359467,6.63,1718.1
50,OK,albert,euclidean,16,0.7846,0.7846,0.03392,1.0,0.009822,0.019454,275.23,2507.1
