config_id,status,ratio,comparison_cleaner,weighting_scheme,vectorizer,metric,tokenizer,qgram,clusterer,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.6102,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.71,0.915633,1.0,0.771167,0.870801,45.97,798.4
2,OK,0.5422,CardinalityNodePruning,CN-CBS,tfidf,cosine,char_tokenizer,3,UniqueMappingClustering,0.0,0.981481,0.988263,0.963387,0.975666,76.7,808.9
3,OK,0.7652,CardinalityNodePruning,SNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.53,0.955795,1.0,0.885584,0.93932,82.11,785.1
4,OK,0.5969,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.0,0.994286,0.993088,0.98627,0.989667,71.46,806.8
5,OK,0.8814,CardinalityNodePruning,SN-CBS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.35,0.941889,1.0,0.853547,0.920988,55.66,703.8
6,OK,0.9379,CardinalityNodePruning,EJS,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.43,0.992,0.993103,0.988558,0.990826,77.52,813.7
7,OK,0.5206,CardinalityNodePruning,SNC,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.983796,0.990698,0.974828,0.982699,61.81,703.4
8,OK,0.6711,CardinalityEdgePruning,DICE,tf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.989667,0.992908,0.961098,0.976744,36.17,706.5
9,OK,0.8016,CardinalityNodePruning,SND,boolean,cosine,char_tokenizer,3,UniqueMappingClustering,0.49,0.995444,0.993088,0.98627,0.989667,89.89,817.3
10,OK,0.6708,CardinalityEdgePruning,ECBS,boolean,cosine,char_tokenizer,4,ConnectedComponentsClustering,0.58,0.971765,0.997494,0.910755,0.952153,75.72,811.6
11,OK,0.8623,CardinalityEdgePruning,ECBS,tf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.990826,0.993056,0.981693,0.987342,54.36,704.4
12,OK,0.5957,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.07,0.932845,1.0,0.812357,0.896465,42.01,707.2
13,OK,0.611,CardinalityEdgePruning,JS,boolean,cosine,word_tokenizer,5,UniqueMappingClustering,0.0,0.95962,0.997429,0.887872,0.939467,35.49,707.8
14,OK,0.9488,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.988506,0.986175,0.979405,0.982778,54.64,702.3
15,OK,0.5688,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.990805,0.990698,0.974828,0.982699,49.94,702.1
16,OK,0.7381,CardinalityNodePruning,CNJ,boolean,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.75,0.93674,0.997436,0.89016,0.94075,72.59,807.7
17,OK,0.6321,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.990783,0.988453,0.979405,0.983908,52.6,701.3
18,OK,0.7285,CardinalityNodePruning,EJS,tfidf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.991963,0.988263,0.963387,0.975666,45.73,708.7
19,OK,0.7427,CardinalityEdgePruning,JS,boolean,cosine,char_tokenizer,4,UniqueMappingClustering,0.0,0.992018,0.988532,0.98627,0.9874,68.23,812.3
20,OK,0.9181,CardinalityNodePruning,CN-CBS,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.0,0.990826,0.990847,0.990847,0.990847,70.86,805.6
21,OK,0.5385,CardinalityEdgePruning,X2,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.0,0.992018,0.993088,0.98627,0.989667,71.02,812.4
22,OK,0.9261,CardinalityEdgePruning,COSINE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.07,0.928922,1.0,0.805492,0.892269,41.2,709.1
23,OK,0.8208,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,UniqueMappingClustering,0.0,0.958383,0.997436,0.89016,0.94075,42.05,708.7
24,OK,0.6011,CardinalityNodePruning,SN-CBS,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.0,0.982659,0.990588,0.963387,0.976798,89.51,812.7
25,OK,0.8185,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,UniqueMappingClustering,0.0,0.985006,0.992974,0.970252,0.981481,79.41,799.4
26,OK,0.5319,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.07,0.93932,1.0,0.819222,0.900629,42.98,708.7
27,OK,0.8255,CardinalityEdgePruning,X2,boolean,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.988506,0.992925,0.963387,0.977933,46.61,706.0
28,OK,0.5424,CardinalityNodePruning,CNJ,boolean,cosine,word_tokenizer,4,UniqueMappingClustering,0.0,0.922509,0.997361,0.864989,0.926471,41.92,710.1
29,OK,0.8887,CardinalityNodePruning,CNJ,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.65,0.922318,1.0,0.800915,0.889454,93.4,801.6
