config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,GradientBoosting,107,2,0.225,,,0.78,0.612403,0.503268,0.766169,0.607495,16.25,294.8
2,OK,LogisticRegression,,,,0.01306,balanced,0.72,0.59203,0.469055,0.716418,0.566929,16.18,297.3
3,OK,GradientBoosting,429,19,0.0352,,,0.01,0.559838,0.521429,0.726368,0.607069,42.09,291.3
4,OK,RandomForest,66,2,,,balanced,0.77,0.574144,0.47205,0.756219,0.581262,15.14,299.1
5,OK,LogisticRegression,,,,0.01456,balanced,0.74,0.590551,0.486207,0.701493,0.574338,16.36,302.3
6,OK,GradientBoosting,151,19,0.1317,,,0.11,0.570093,0.538462,0.626866,0.57931,25.76,299.5
7,OK,RandomForest,351,10,,,balanced,0.35,0.619529,0.442748,0.865672,0.585859,16.46,290.4
8,OK,LogisticRegression,,,,3.09526,none,0.22,0.586271,0.457944,0.731343,0.563218,16.5,303.4
9,OK,RandomForest,129,8,,,none,0.27,0.631579,0.536184,0.810945,0.645545,15.67,295.1
10,OK,LogisticRegression,,,,0.00291,balanced,0.65,0.592308,0.47651,0.706468,0.569138,16.44,300.8
11,OK,RandomForest,483,13,,,none,0.29,0.649087,0.574074,0.771144,0.658174,17.49,299.6
12,OK,LogisticRegression,,,,4.45306,balanced,0.8,0.601134,0.5,0.761194,0.60355,18.95,303.7
13,OK,RandomForest,90,19,,,none,0.31,0.631579,0.563433,0.751244,0.643923,15.27,294.5
14,OK,GradientBoosting,366,13,0.1774,,,0.01,0.592255,0.579167,0.691542,0.630385,35.15,298.2
15,OK,GradientBoosting,85,3,0.2018,,,0.76,0.605941,0.501767,0.706468,0.586777,16.51,298.9
16,OK,RandomForest,90,9,,,balanced,0.45,0.629174,0.454294,0.81592,0.58363,15.34,297.8
17,OK,RandomForest,192,16,,,none,0.35,0.638581,0.597458,0.701493,0.645309,15.78,304.3
18,OK,LogisticRegression,,,,0.07094,balanced,0.79,0.592593,0.482877,0.701493,0.572008,16.05,298.0
19,OK,GradientBoosting,186,4,0.1866,,,0.62,0.607219,0.526923,0.681592,0.59436,19.44,300.4
20,OK,LogisticRegression,,,,0.46849,balanced,0.81,0.589147,0.478114,0.706468,0.570281,16.14,295.2
21,OK,LogisticRegression,,,,0.20479,none,0.28,0.589474,0.505792,0.651741,0.569565,16.16,296.5
22,OK,GradientBoosting,402,19,0.0737,,,0.03,0.574032,0.549587,0.661692,0.600451,40.14,294.3
23,OK,RandomForest,481,3,,,balanced,0.78,0.6,0.488599,0.746269,0.590551,16.39,291.3
24,OK,LogisticRegression,,,,10.59812,none,0.22,0.58256,0.459627,0.736318,0.565966,16.25,297.8
25,OK,RandomForest,83,8,,,none,0.36,0.63964,0.582645,0.701493,0.636569,15.8,300.8
26,OK,LogisticRegression,,,,1.89319,none,0.22,0.585185,0.455108,0.731343,0.561069,16.21,292.7
27,OK,GradientBoosting,284,6,0.0868,,,0.25,0.600368,0.456647,0.78607,0.577697,24.87,292.2
28,OK,LogisticRegression,,,,5.30817,none,0.22,0.585185,0.459375,0.731343,0.564299,16.07,295.2
29,OK,GradientBoosting,349,15,0.2704,,,0.01,0.584112,0.553719,0.666667,0.604966,26.7,303.9
30,OK,RandomForest,235,9,,,balanced,0.43,0.62069,0.463415,0.850746,0.6,15.86,297.0
31,OK,GradientBoosting,302,4,0.2292,,,0.19,0.578014,0.430894,0.791045,0.557895,21.69,298.5
32,OK,LogisticRegression,,,,0.00581,balanced,0.69,0.592593,0.479592,0.701493,0.569697,16.16,291.2
33,OK,GradientBoosting,266,4,0.1216,,,0.4,0.602151,0.444142,0.810945,0.573944,20.87,304.0
34,OK,GradientBoosting,289,18,0.0829,,,0.03,0.575964,0.549784,0.631841,0.587963,40.11,300.2
35,OK,GradientBoosting,490,2,0.2073,,,0.78,0.6,0.540426,0.631841,0.582569,21.03,294.1
36,OK,LogisticRegression,,,,2.56184,none,0.24,0.609709,0.486207,0.701493,0.574338,16.54,300.3
37,OK,GradientBoosting,224,5,0.0951,,,0.39,0.595668,0.469914,0.81592,0.596364,21.52,302.7
38,OK,LogisticRegression,,,,0.18562,none,0.26,0.611336,0.496296,0.666667,0.569002,17.04,290.0
39,OK,GradientBoosting,440,7,0.1572,,,0.04,0.613636,0.49226,0.791045,0.60687,32.45,303.2
40,OK,LogisticRegression,,,,22.52127,none,0.31,0.583333,0.52459,0.636816,0.575281,15.9,295.0
41,OK,GradientBoosting,309,8,0.0543,,,0.61,0.589928,0.582569,0.631841,0.606205,28.91,302.6
42,OK,LogisticRegression,,,,0.49762,balanced,0.8,0.605364,0.496667,0.741294,0.59481,17.87,298.7
43,OK,GradientBoosting,215,17,0.0156,,,0.14,0.562738,0.47561,0.776119,0.589792,25.07,294.6
44,OK,RandomForest,499,11,,,balanced,0.52,0.620833,0.544776,0.726368,0.622601,17.18,303.7
45,OK,LogisticRegression,,,,0.01601,balanced,0.73,0.615087,0.477509,0.686567,0.563265,17.32,301.8
46,OK,LogisticRegression,,,,4.56602,balanced,0.85,0.608333,0.503788,0.661692,0.572043,18.72,296.5
47,OK,GradientBoosting,442,6,0.0472,,,0.38,0.599613,0.493631,0.771144,0.601942,30.61,295.3
48,OK,RandomForest,331,7,,,none,0.32,0.6375,0.56015,0.741294,0.638116,16.33,300.8
49,OK,GradientBoosting,496,15,0.2897,,,0.61,0.585635,0.611765,0.517413,0.560647,24.97,301.8
50,OK,GradientBoosting,436,8,0.2168,,,0.01,0.606557,0.512281,0.726368,0.600823,34.68,291.3
