config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.01,0.857143,1.0,0.810811,0.895522,489.75,8337.1
2,OK,0.777,279525.0,0.01,0.857143,1.0,0.837838,0.911765,494.26,8270.2
3,OK,0.9062,2256311.0,0.04,0.870968,1.0,0.810811,0.895522,498.13,8448.5
4,OK,0.9498,149237.0,0.01,0.870968,1.0,0.810811,0.895522,487.66,8268.6
5,OK,0.8181,114708.0,0.05,0.870968,1.0,0.756757,0.861538,482.18,8366.4
6,OK,0.7612,1024968.0,0.01,0.875,1.0,0.864865,0.927536,479.44,8413.2
7,OK,0.7074,249847.0,0.01,0.875,1.0,0.837838,0.911765,487.41,8402.0
8,OK,0.882,1229937.0,0.04,0.870968,1.0,0.783784,0.878788,485.79,8431.7
9,OK,0.7617,1508451.0,0.01,0.875,1.0,0.864865,0.927536,497.18,8300.8
10,OK,0.9266,103038.0,0.01,0.870968,1.0,0.837838,0.911765,483.25,8349.6
11,OK,0.9256,2490455.0,0.01,0.870968,1.0,0.837838,0.911765,503.14,8333.5
12,OK,0.7953,204625.0,0.02,0.870968,1.0,0.810811,0.895522,488.45,8375.6
13,OK,0.968,471182.0,0.01,0.870968,1.0,0.837838,0.911765,494.55,8404.1
14,OK,0.726,156110.0,0.01,0.875,1.0,0.864865,0.927536,488.33,8262.3
15,OK,0.9373,1612323.0,0.01,0.870968,1.0,0.837838,0.911765,484.58,8461.5
16,OK,0.926,2880471.0,0.01,0.870968,1.0,0.837838,0.911765,481.44,8357.8
17,OK,0.8501,8835508.0,0.02,0.870968,1.0,0.810811,0.895522,501.17,8655.6
18,OK,0.806,1270811.0,0.04,0.870968,1.0,0.72973,0.84375,481.28,8466.2
19,OK,0.9322,1725994.0,0.01,0.870968,1.0,0.837838,0.911765,476.58,8483.7
20,OK,0.9413,1427921.0,0.01,0.870968,1.0,0.837838,0.911765,482.74,8307.0
21,OK,0.8973,123494.0,0.06,0.870968,1.0,0.756757,0.861538,484.3,8269.4
22,OK,0.7638,379119.0,0.01,0.875,1.0,0.837838,0.911765,492.99,8411.1
23,OK,0.7223,292133.0,0.01,0.875,1.0,0.810811,0.895522,490.69,8334.4
24,OK,0.7283,359705.0,0.01,0.875,1.0,0.837838,0.911765,488.42,8263.8
25,OK,0.878,536616.0,0.04,0.870968,1.0,0.810811,0.895522,477.73,8275.4
26,OK,0.8037,262430.0,0.04,0.870968,1.0,0.72973,0.84375,484.63,8373.3
27,OK,0.7748,7469803.0,0.01,0.857143,1.0,0.810811,0.895522,486.64,8496.8
28,OK,0.8814,1652958.0,0.03,0.870968,1.0,0.810811,0.895522,479.21,8426.7
29,OK,0.7479,2872457.0,0.01,0.875,1.0,0.837838,0.911765,489.92,8437.1
30,OK,0.7458,573998.0,0.01,0.875,1.0,0.837838,0.911765,494.78,8346.4
31,OK,0.9771,1905458.0,0.01,0.870968,1.0,0.837838,0.911765,499.45,8323.1
32,OK,0.8559,2340068.0,0.03,0.870968,1.0,0.810811,0.895522,485.58,8335.9
33,OK,0.936,3564509.0,0.01,0.870968,1.0,0.837838,0.911765,485.04,8476.6
34,OK,0.7641,115931.0,0.01,0.857143,1.0,0.810811,0.895522,484.08,8270.8
35,OK,0.7883,343148.0,0.01,0.857143,1.0,0.810811,0.895522,480.57,8267.5
36,OK,0.7591,7688107.0,0.01,0.875,1.0,0.837838,0.911765,490.36,8613.2
