config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.09,0.703642,0.981232,0.632036,0.768842,13.79,403.4
2,OK,0.777,279525.0,0.12,0.707787,1.0,0.653948,0.790772,13.46,403.7
3,OK,0.9062,2256311.0,0.11,0.710038,0.998767,0.612014,0.75896,17.78,421.2
4,OK,0.9498,149237.0,0.1,0.706897,0.993759,0.541368,0.700905,19.03,406.6
5,OK,0.8181,114708.0,0.3,0.71069,0.995663,0.607102,0.754283,15.0,395.5
6,OK,0.7612,1024968.0,0.5,0.741036,1.0,0.470344,0.639774,14.41,414.9
7,OK,0.7074,249847.0,0.15,0.701546,0.969021,0.590858,0.7341,14.09,402.4
8,OK,0.882,1229937.0,0.06,0.704392,0.969938,0.646014,0.77551,14.53,420.0
9,OK,0.7617,1508451.0,0.5,0.741036,1.0,0.46921,0.638725,14.25,422.6
10,OK,0.9266,103038.0,0.16,0.718799,1.0,0.541368,0.702451,13.39,394.6
11,OK,0.9256,2490455.0,0.08,0.719509,0.994044,0.567435,0.722463,14.59,414.0
12,OK,0.7953,204625.0,0.08,0.708805,0.971639,0.647148,0.776871,13.41,404.5
13,OK,0.968,471182.0,0.1,0.698178,0.996508,0.539101,0.699681,13.74,406.1
14,OK,0.726,156110.0,0.09,0.709325,0.968227,0.656215,0.782256,13.2,399.1
15,OK,0.9373,1612323.0,0.16,0.720075,1.0,0.534945,0.697022,14.39,419.3
16,OK,0.926,2880471.0,0.08,0.719509,0.994044,0.567435,0.722463,14.38,411.1
17,OK,0.8501,8835508.0,0.04,0.713124,0.9859,0.66037,0.79095,14.23,419.9
18,OK,0.806,1270811.0,0.11,0.704909,0.971575,0.645637,0.77576,14.33,419.9
19,OK,0.9322,1725994.0,0.15,0.720273,1.0,0.538345,0.699902,14.64,417.5
20,OK,0.9413,1427921.0,0.17,0.714375,1.0,0.531545,0.694129,14.57,419.5
21,OK,0.8973,123494.0,0.09,0.699078,0.997006,0.629014,0.771369,13.19,400.6
22,OK,0.7638,379119.0,0.53,0.737465,1.0,0.457877,0.628142,13.53,409.2
23,OK,0.7223,292133.0,0.27,0.705001,0.968652,0.58368,0.72843,13.23,402.8
24,OK,0.7283,359705.0,0.09,0.710627,0.968156,0.654703,0.781158,13.58,407.1
25,OK,0.878,536616.0,0.06,0.70534,0.969783,0.642614,0.773006,14.13,407.3
26,OK,0.8037,262430.0,0.1,0.705817,0.971559,0.645259,0.775482,13.46,404.9
27,OK,0.7748,7469803.0,0.1,0.709677,1.0,0.654703,0.791324,14.38,419.6
28,OK,0.8814,1652958.0,0.06,0.703883,0.969938,0.646014,0.77551,14.52,421.2
29,OK,0.7479,2872457.0,0.53,0.738177,0.996151,0.488855,0.655854,14.4,417.2
30,OK,0.7458,573998.0,0.55,0.732598,0.996894,0.485077,0.652605,13.98,417.4
31,OK,0.9771,1905458.0,0.27,0.699231,1.0,0.474877,0.643955,14.46,418.7
32,OK,0.8559,2340068.0,0.06,0.713428,0.988061,0.656592,0.788924,14.38,424.0
33,OK,0.936,3564509.0,0.17,0.720524,1.0,0.536456,0.698303,14.71,417.5
34,OK,0.7641,115931.0,0.59,0.736585,1.0,0.455988,0.626362,13.3,395.4
35,OK,0.7883,343148.0,0.07,0.708242,0.988532,0.651303,0.785243,13.97,410.3
36,OK,0.7591,7688107.0,0.55,0.732729,0.99679,0.46921,0.638068,14.42,417.5
37,OK,0.9454,425947.0,0.17,0.715319,1.0,0.525123,0.68863,13.94,412.6
38,OK,0.8835,618391.0,0.06,0.702863,0.969938,0.646014,0.77551,14.03,408.6
39,OK,0.9561,827377.0,0.18,0.70368,1.0,0.498678,0.66549,14.87,418.7
40,OK,0.7742,311354.0,0.05,0.709467,0.997166,0.664526,0.797552,13.54,398.3
41,OK,0.8572,335338.0,0.05,0.713081,0.988075,0.657348,0.789474,13.42,404.1
42,OK,0.8637,6246629.0,0.06,0.713934,0.987769,0.640725,0.777269,14.55,419.7
43,OK,0.8118,274562.0,0.24,0.702936,0.997654,0.642614,0.78171,13.38,402.6
44,OK,0.9793,1044846.0,0.02,0.702028,0.982806,0.669437,0.796404,14.73,416.5
45,OK,0.7255,124231.0,0.09,0.71024,0.968227,0.656215,0.782256,13.38,403.3
46,OK,0.7307,1798423.0,0.46,0.712152,0.984686,0.485833,0.650645,14.64,420.0
47,OK,0.9218,698746.0,0.14,0.721142,1.0,0.546657,0.706888,14.38,415.5
48,OK,0.7178,579747.0,0.21,0.705707,0.96877,0.585946,0.730226,13.85,408.7
49,OK,0.9789,1143480.0,0.02,0.702028,0.982806,0.669437,0.796404,14.95,423.7
50,OK,0.9719,5266952.0,0.23,0.699605,1.0,0.482433,0.650866,14.67,420.8
