config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.03,0.401674,0.301887,0.39801,0.343348,76.28,1745.4
2,OK,0.777,279525.0,0.02,0.382166,0.252796,0.562189,0.348765,76.32,1865.5
3,OK,0.9062,2256311.0,0.03,0.368298,0.296943,0.338308,0.316279,78.3,1922.6
4,OK,0.9498,149237.0,0.03,0.347222,0.283333,0.338308,0.30839,76.31,1795.9
5,OK,0.8181,114708.0,0.01,0.392027,0.273902,0.527363,0.360544,76.36,1731.2
6,OK,0.7612,1024968.0,0.01,0.378378,0.247863,0.577114,0.346786,77.2,1779.7
7,OK,0.7074,249847.0,0.02,0.385208,0.256757,0.567164,0.353488,76.8,1746.3
8,OK,0.882,1229937.0,0.02,0.408163,0.305455,0.41791,0.352941,76.18,1761.6
9,OK,0.7617,1508451.0,0.01,0.379518,0.248394,0.577114,0.347305,76.39,1932.9
10,OK,0.9266,103038.0,0.03,0.347395,0.280193,0.288557,0.284314,76.64,1772.2
11,OK,0.9256,2490455.0,0.05,0.345679,0.277512,0.288557,0.282927,77.33,1863.9
12,OK,0.7953,204625.0,0.01,0.391371,0.254545,0.557214,0.349454,75.59,1760.4
13,OK,0.968,471182.0,0.02,0.348235,0.3,0.343284,0.320186,77.75,1742.0
14,OK,0.726,156110.0,0.02,0.389857,0.259524,0.542289,0.351047,75.95,1732.7
15,OK,0.9373,1612323.0,0.01,0.350649,0.286792,0.378109,0.32618,76.99,1878.3
16,OK,0.926,2880471.0,0.04,0.347395,0.285024,0.293532,0.289216,77.51,1884.6
17,OK,0.8501,8835508.0,0.02,0.396794,0.295918,0.432836,0.351515,79.26,2022.6
18,OK,0.806,1270811.0,0.01,0.3936,0.259524,0.542289,0.351047,77.38,1783.8
19,OK,0.9322,1725994.0,0.01,0.34322,0.28,0.383085,0.323529,75.74,1789.6
20,OK,0.9413,1427921.0,0.01,0.347826,0.292308,0.378109,0.329718,77.3,1945.0
21,OK,0.8973,123494.0,0.01,0.377953,0.268212,0.402985,0.322068,75.61,1728.3
22,OK,0.7638,379119.0,0.01,0.377811,0.244161,0.572139,0.342262,75.08,1743.6
23,OK,0.7223,292133.0,0.01,0.390093,0.25463,0.547264,0.347551,77.31,1728.4
24,OK,0.7283,359705.0,0.02,0.396825,0.263789,0.547264,0.355987,75.73,1769.7
25,OK,0.878,536616.0,0.03,0.4,0.301887,0.39801,0.343348,76.61,1792.3
26,OK,0.8037,262430.0,0.01,0.391097,0.260664,0.547264,0.35313,75.64,1778.7
27,OK,0.7748,7469803.0,0.02,0.379147,0.250554,0.562189,0.346626,79.02,1955.1
28,OK,0.8814,1652958.0,0.01,0.411405,0.311594,0.427861,0.360587,78.84,1865.2
29,OK,0.7479,2872457.0,0.02,0.40208,0.281081,0.517413,0.364273,78.74,1876.3
30,OK,0.7458,573998.0,0.02,0.398614,0.279133,0.512438,0.361404,77.2,1810.9
31,OK,0.9771,1905458.0,0.02,0.353234,0.310345,0.313433,0.311881,78.95,1964.5
32,OK,0.8559,2340068.0,0.01,0.398537,0.293051,0.482587,0.364662,78.48,1835.7
33,OK,0.936,3564509.0,0.01,0.349892,0.285714,0.378109,0.325482,77.35,1964.8
34,OK,0.7641,115931.0,0.01,0.378788,0.248927,0.577114,0.347826,76.74,1790.6
35,OK,0.7883,343148.0,0.01,0.379104,0.250545,0.572139,0.348485,75.25,1775.1
36,OK,0.7591,7688107.0,0.01,0.379671,0.247881,0.58209,0.347697,78.33,1956.8
37,OK,0.9454,425947.0,0.01,0.349345,0.294574,0.378109,0.331155,77.27,1742.9
38,OK,0.8835,618391.0,0.02,0.403397,0.297297,0.383085,0.334783,77.98,1804.6
39,OK,0.9561,827377.0,0.02,0.342723,0.292373,0.343284,0.315789,76.08,1753.6
40,OK,0.7742,311354.0,0.02,0.378698,0.243644,0.572139,0.341753,76.59,1804.6
41,OK,0.8572,335338.0,0.01,0.402194,0.3,0.492537,0.372881,76.65,1827.3
42,OK,0.8637,6246629.0,0.01,0.401501,0.304762,0.477612,0.372093,79.13,1906.2
43,OK,0.8118,274562.0,0.01,0.395425,0.269327,0.537313,0.358804,77.29,1803.4
44,OK,0.9793,1044846.0,0.03,0.356784,0.319797,0.313433,0.316583,77.55,1839.0
45,OK,0.7255,124231.0,0.02,0.389241,0.260664,0.547264,0.35313,76.78,1719.7
46,OK,0.7307,1798423.0,0.02,0.398714,0.27027,0.547264,0.361842,77.92,1797.1
47,OK,0.9218,698746.0,0.01,0.345833,0.268707,0.393035,0.319192,76.72,1817.2
48,OK,0.7178,579747.0,0.01,0.388379,0.25,0.542289,0.342229,76.36,1743.7
49,OK,0.9789,1143480.0,0.02,0.357683,0.323077,0.313433,0.318182,76.51,1833.9
50,OK,0.9719,5266952.0,0.02,0.355231,0.309091,0.338308,0.32304,79.15,1924.7
