config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.01,0.956522,1.0,0.810811,0.895522,127.51,180.2
2,OK,23,0.3009,7.6282,0.01,0.939394,1.0,0.810811,0.895522,121.08,180.2
3,OK,51,0.7666,5.9083,0.58,0.923077,1.0,0.756757,0.861538,121.04,178.2
4,OK,45,0.4797,1.2682,0.93,0.970588,1.0,0.783784,0.878788,116.54,175.9
5,OK,21,0.3094,6.4182,0.56,0.923077,1.0,0.756757,0.861538,120.53,179.3
6,OK,43,0.279,6.849,0.01,0.939394,1.0,0.810811,0.895522,122.02,179.3
7,OK,42,0.4776,5.0429,0.01,0.939394,1.0,0.810811,0.895522,122.03,179.4
8,OK,25,0.8285,1.0585,0.01,0.925373,1.0,0.837838,0.911765,112.52,178.5
9,OK,59,0.2437,4.8035,0.01,0.970588,1.0,0.810811,0.895522,126.04,179.9
10,OK,25,0.2399,9.6149,0.01,0.970588,1.0,0.810811,0.895522,125.02,181.1
11,OK,29,0.192,4.4193,0.01,0.956522,1.0,0.810811,0.895522,119.54,178.5
12,OK,30,0.8627,6.4335,0.01,0.923077,1.0,0.783784,0.878788,123.07,177.6
13,OK,59,0.1391,5.1348,0.01,0.925373,1.0,0.810811,0.895522,123.04,181.1
14,OK,15,0.9758,4.4068,0.01,0.970588,1.0,0.810811,0.895522,118.52,179.2
15,OK,43,0.3639,6.6578,0.01,0.956522,1.0,0.810811,0.895522,124.03,178.5
16,OK,64,0.8755,6.1962,0.57,0.955224,1.0,0.756757,0.861538,126.56,179.3
17,OK,53,0.1626,6.9514,0.01,0.956522,1.0,0.810811,0.895522,126.54,179.4
18,OK,57,0.3604,1.7181,0.01,0.956522,1.0,0.837838,0.911765,120.03,178.5
19,OK,22,0.8798,4.4211,0.01,0.956522,1.0,0.810811,0.895522,118.55,176.7
20,OK,37,0.6721,4.2835,0.01,0.925373,1.0,0.810811,0.895522,122.05,180.2
21,OK,31,0.4197,7.0316,0.01,0.956522,1.0,0.810811,0.895522,124.06,180.2
22,OK,52,0.943,6.8323,0.01,0.939394,1.0,0.810811,0.895522,125.54,180.2
23,OK,46,0.6715,5.8073,0.58,0.923077,1.0,0.756757,0.861538,123.53,179.4
24,OK,23,0.2471,4.4151,0.01,0.956522,1.0,0.810811,0.895522,117.05,178.5
25,OK,48,0.7193,2.9765,0.01,0.925373,1.0,0.837838,0.911765,118.55,178.5
26,OK,28,0.8586,7.984,0.01,0.925373,1.0,0.810811,0.895522,121.04,181.1
27,OK,22,0.8396,8.2454,0.01,0.939394,1.0,0.783784,0.878788,124.05,181.1
28,OK,33,0.341,2.8988,0.01,0.939394,1.0,0.837838,0.911765,119.55,177.6
29,OK,44,0.8887,3.8321,0.01,0.939394,1.0,0.810811,0.895522,124.02,179.3
30,OK,49,0.5493,8.9621,0.76,0.939394,1.0,0.72973,0.84375,122.53,181.1
31,OK,49,0.513,3.3839,0.01,0.925373,1.0,0.837838,0.911765,118.52,176.7
32,OK,23,0.7705,5.8508,0.01,0.923077,1.0,0.756757,0.861538,121.04,177.6
33,OK,55,0.6261,9.0804,0.76,0.970588,1.0,0.72973,0.84375,127.56,180.2
34,OK,33,0.4258,9.9759,0.01,0.970588,1.0,0.783784,0.878788,129.05,180.2
35,OK,16,0.5586,1.8182,0.01,0.939394,1.0,0.837838,0.911765,114.52,175.9
36,OK,11,0.875,2.3756,0.01,0.939394,1.0,0.837838,0.911765,115.01,175.9
37,OK,18,0.8129,4.7994,0.01,0.939394,1.0,0.810811,0.895522,117.04,178.5
38,OK,12,0.4463,6.363,0.56,0.955224,1.0,0.756757,0.861538,117.53,180.2
39,OK,37,0.5762,9.7397,0.01,0.970588,1.0,0.810811,0.895522,127.03,179.4
40,OK,63,0.9482,7.1226,0.01,0.956522,1.0,0.810811,0.895522,126.03,182.0
41,OK,15,0.7135,5.8327,0.58,0.955224,1.0,0.756757,0.861538,117.05,181.1
42,OK,25,0.7917,4.0616,0.01,0.956522,1.0,0.810811,0.895522,117.04,180.0
43,OK,26,0.4913,5.0835,0.01,0.956522,1.0,0.810811,0.895522,118.56,178.2
44,OK,54,0.8883,3.3705,0.01,0.939394,1.0,0.837838,0.911765,122.05,179.4
45,OK,40,0.7858,5.5691,0.01,0.955224,1.0,0.810811,0.895522,122.02,179.4
46,OK,14,0.8835,3.686,0.01,0.970588,1.0,0.810811,0.895522,114.99,178.5
47,OK,48,0.5569,2.7902,0.84,0.939394,1.0,0.702703,0.825397,108.5,179.4
48,OK,31,0.7863,5.8544,0.01,0.955224,1.0,0.783784,0.878788,110.49,180.2
49,OK,57,0.9302,9.2664,0.76,0.970588,1.0,0.72973,0.84375,118.52,179.3
50,OK,46,0.3917,1.1753,0.01,0.925373,1.0,0.837838,0.911765,109.01,178.5
