config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.01,0.582879,1.0,0.264828,0.418757,1177.01,363.5
2,OK,23,0.3009,7.6282,0.01,0.616304,1.0,0.259917,0.412594,1119.98,368.0
3,OK,51,0.7666,5.9083,0.01,0.601066,1.0,0.389498,0.560631,992.03,328.0
4,OK,45,0.4797,1.2682,0.01,0.597079,1.0,0.389498,0.560631,588.01,220.8
5,OK,21,0.3094,6.4182,0.01,0.621631,1.0,0.350208,0.518747,1049.13,348.1
6,OK,43,0.279,6.849,0.01,0.602504,1.0,0.418965,0.590522,1050.25,347.1
7,OK,42,0.4776,5.0429,0.01,0.639724,1.0,0.28334,0.441566,1021.24,308.0
8,OK,25,0.8285,1.0585,0.01,0.640224,1.0,0.289006,0.448417,581.1,217.6
9,OK,59,0.2437,4.8035,0.01,0.654902,1.0,0.289006,0.448417,893.46,303.5
10,OK,25,0.2399,9.6149,0.01,0.571758,1.0,0.28674,0.445684,1274.07,428.6
11,OK,29,0.192,4.4193,0.01,0.667961,1.0,0.288629,0.447962,863.96,296.1
12,OK,30,0.8627,6.4335,0.01,0.59678,1.0,0.389498,0.560631,1011.44,350.0
13,OK,59,0.1391,5.1348,0.01,0.62548,1.0,0.201738,0.335743,923.47,310.4
14,OK,15,0.9758,4.4068,0.01,0.665637,1.0,0.233472,0.37856,855.97,292.6
15,OK,43,0.3639,6.6578,0.01,0.549363,1.0,0.289006,0.448417,1107.4,344.9
16,OK,64,0.8755,6.1962,0.01,0.670283,1.0,0.389498,0.560631,1036.34,344.5
17,OK,53,0.1626,6.9514,0.01,0.615657,1.0,0.21836,0.35845,1095.33,344.9
18,OK,57,0.3604,1.7181,0.01,0.618761,1.0,0.270117,0.425342,645.53,235.3
