config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.63,0.075472,0.833333,0.042373,0.080645,113.01,225.7
2,OK,23,0.3009,7.6282,0.64,0.075472,0.833333,0.042373,0.080645,115.01,225.0
3,OK,51,0.7666,5.9083,0.61,0.075269,0.8,0.045198,0.085561,117.53,226.3
4,OK,45,0.4797,1.2682,0.52,0.859259,0.746171,0.963277,0.840937,111.15,222.7
5,OK,21,0.3094,6.4182,0.64,0.075472,0.833333,0.042373,0.080645,113.05,221.8
6,OK,43,0.279,6.849,0.55,0.075269,0.809524,0.048023,0.090667,119.64,232.1
7,OK,42,0.4776,5.0429,0.66,0.075472,0.842105,0.045198,0.085791,112.54,224.8
8,OK,25,0.8285,1.0585,0.6,0.859259,0.754425,0.963277,0.846154,109.08,224.3
9,OK,59,0.2437,4.8035,0.01,0.086294,0.517857,0.081921,0.141463,114.99,220.6
10,OK,25,0.2399,9.6149,0.48,0.075269,0.8,0.045198,0.085561,117.49,227.2
11,OK,29,0.192,4.4193,0.01,0.09291,0.476923,0.087571,0.147971,114.13,225.1
12,OK,30,0.8627,6.4335,0.65,0.075472,0.833333,0.042373,0.080645,117.02,220.4
13,OK,59,0.1391,5.1348,0.65,0.075472,0.85,0.048023,0.090909,112.53,219.2
14,OK,15,0.9758,4.4068,0.01,0.088235,0.42029,0.081921,0.137116,115.1,226.9
15,OK,43,0.3639,6.6578,0.63,0.075472,0.833333,0.042373,0.080645,117.0,226.8
16,OK,64,0.8755,6.1962,0.63,0.075472,0.833333,0.042373,0.080645,118.15,226.2
17,OK,53,0.1626,6.9514,0.59,0.075269,0.8,0.045198,0.085561,114.07,223.8
18,OK,57,0.3604,1.7181,0.47,0.860321,0.764574,0.963277,0.8525,116.18,225.1
19,OK,22,0.8798,4.4211,0.01,0.09291,0.484375,0.087571,0.148325,113.49,220.3
20,OK,37,0.6721,4.2835,0.64,0.073879,0.818182,0.050847,0.095745,113.02,218.7
21,OK,31,0.4197,7.0316,0.64,0.075472,0.833333,0.042373,0.080645,112.97,234.3
22,OK,52,0.943,6.8323,0.63,0.075472,0.833333,0.042373,0.080645,113.07,229.0
23,OK,46,0.6715,5.8073,0.67,0.075472,0.842105,0.045198,0.085791,115.62,222.0
24,OK,23,0.2471,4.4151,0.46,0.074257,0.419355,0.073446,0.125,113.2,219.0
25,OK,48,0.7193,2.9765,0.47,0.107477,0.385542,0.090395,0.146453,115.15,216.4
26,OK,28,0.8586,7.984,0.57,0.075269,0.8,0.045198,0.085561,115.12,230.5
27,OK,22,0.8396,8.2454,0.5,0.074074,0.8,0.045198,0.085561,110.12,231.6
28,OK,33,0.341,2.8988,0.45,0.112941,0.426667,0.090395,0.149184,113.62,216.4
29,OK,44,0.8887,3.8321,0.41,0.103286,0.390244,0.090395,0.146789,112.6,220.6
30,OK,49,0.5493,8.9621,0.47,0.075269,0.8,0.045198,0.085561,119.2,228.2
31,OK,49,0.513,3.3839,0.01,0.113208,0.390244,0.090395,0.146789,113.61,222.9
32,OK,23,0.7705,5.8508,0.66,0.075472,0.833333,0.042373,0.080645,116.66,222.0
33,OK,55,0.6261,9.0804,0.01,0.074074,0.8,0.045198,0.085561,119.04,228.7
34,OK,33,0.4258,9.9759,0.47,0.074074,0.8,0.045198,0.085561,116.02,234.9
35,OK,16,0.5586,1.8182,0.45,0.865672,0.778032,0.960452,0.859671,112.26,221.9
36,OK,11,0.875,2.3756,0.56,0.099057,0.402597,0.087571,0.143852,111.55,222.1
37,OK,18,0.8129,4.7994,0.01,0.083538,0.47541,0.081921,0.139759,113.99,226.8
38,OK,12,0.4463,6.363,0.57,0.075269,0.8,0.045198,0.085561,115.07,227.5
39,OK,37,0.5762,9.7397,0.01,0.075269,0.8,0.045198,0.085561,121.6,232.2
40,OK,63,0.9482,7.1226,0.62,0.075472,0.833333,0.042373,0.080645,115.48,228.8
41,OK,15,0.7135,5.8327,0.58,0.075269,0.809524,0.048023,0.090667,112.95,221.7
42,OK,25,0.7917,4.0616,0.01,0.111922,0.484848,0.090395,0.152381,115.07,221.0
43,OK,26,0.4913,5.0835,0.65,0.075269,0.8,0.045198,0.085561,113.54,223.0
44,OK,54,0.8883,3.3705,0.42,0.105263,0.450704,0.090395,0.150588,113.52,216.6
45,OK,40,0.7858,5.5691,0.01,0.077519,0.694444,0.070621,0.128205,113.59,221.1
46,OK,14,0.8835,3.686,0.71,0.075067,0.818182,0.050847,0.095745,110.12,218.9
47,OK,48,0.5569,2.7902,0.01,0.107477,0.390244,0.090395,0.146789,113.55,216.6
48,OK,31,0.7863,5.8544,0.6,0.075269,0.809524,0.048023,0.090667,116.18,220.7
49,OK,57,0.9302,9.2664,0.71,0.070652,0.882353,0.042373,0.080863,120.7,227.3
50,OK,46,0.3917,1.1753,0.58,0.876574,0.779817,0.960452,0.860759,112.62,223.9
