config_id,status,ratio,comparison_cleaner,weighting_scheme,vectorizer,metric,tokenizer,qgram,clusterer,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.6102,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.46,0.474308,0.960526,0.378238,0.542751,29.19,406.3
2,OK,0.5422,CardinalityNodePruning,CN-CBS,tfidf,cosine,char_tokenizer,3,UniqueMappingClustering,0.23,0.887671,0.950617,0.797927,0.867606,30.48,412.3
3,OK,0.7652,CardinalityNodePruning,SNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.29,0.484375,0.983051,0.300518,0.460317,33.85,422.0
4,OK,0.5969,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.0,0.822581,0.88024,0.761658,0.816667,32.0,411.5
5,OK,0.8814,CardinalityNodePruning,SN-CBS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.1,0.31441,0.942857,0.170984,0.289474,28.37,403.7
6,OK,0.9379,CardinalityNodePruning,EJS,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.09,0.885333,0.914773,0.834197,0.872629,31.78,411.6
7,OK,0.5206,CardinalityNodePruning,SNC,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.724638,0.73913,0.61658,0.672316,27.27,402.5
8,OK,0.6711,CardinalityEdgePruning,DICE,tf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.540717,0.813725,0.430052,0.562712,26.71,404.4
9,OK,0.8016,CardinalityNodePruning,SND,boolean,cosine,char_tokenizer,3,UniqueMappingClustering,0.0,0.824468,0.877095,0.813472,0.844086,30.14,417.6
10,OK,0.6708,CardinalityEdgePruning,ECBS,boolean,cosine,char_tokenizer,4,ConnectedComponentsClustering,0.26,0.456,1.0,0.326425,0.492188,28.7,407.1
11,OK,0.8623,CardinalityEdgePruning,ECBS,tf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.712251,0.780645,0.626943,0.695402,30.88,403.8
12,OK,0.5957,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.03,0.169014,0.909091,0.103627,0.186047,26.15,407.4
13,OK,0.611,CardinalityEdgePruning,JS,boolean,cosine,word_tokenizer,5,UniqueMappingClustering,0.0,0.169014,0.916667,0.11399,0.202765,25.3,406.0
14,OK,0.9488,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.02,0.698061,0.727848,0.595855,0.655271,28.19,404.8
15,OK,0.5688,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.715116,0.774194,0.621762,0.689655,27.17,403.5
16,OK,0.7381,CardinalityNodePruning,CNJ,boolean,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.5,0.357447,1.0,0.222798,0.364407,29.11,410.6
17,OK,0.6321,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.72,0.732919,0.611399,0.666667,27.49,402.4
18,OK,0.7285,CardinalityNodePruning,EJS,tfidf,cosine,word_tokenizer,3,UniqueMappingClustering,0.02,0.561056,0.8,0.435233,0.563758,26.85,405.2
19,OK,0.7427,CardinalityEdgePruning,JS,boolean,cosine,char_tokenizer,4,UniqueMappingClustering,0.14,0.846154,0.898204,0.777202,0.833333,29.14,409.4
20,OK,0.9181,CardinalityNodePruning,CN-CBS,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.31,0.78628,0.869318,0.792746,0.829268,33.83,410.8
21,OK,0.5385,CardinalityEdgePruning,X2,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.24,0.843575,0.887574,0.777202,0.828729,34.53,415.9
22,OK,0.9261,CardinalityEdgePruning,COSINE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.161137,0.894737,0.088083,0.160377,26.24,406.4
23,OK,0.8208,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,UniqueMappingClustering,0.0,0.167442,0.869565,0.103627,0.185185,26.4,406.2
24,OK,0.6011,CardinalityNodePruning,SN-CBS,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.0,0.857143,0.874286,0.792746,0.831522,31.07,414.8
25,OK,0.8185,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,UniqueMappingClustering,0.37,0.785498,0.941176,0.663212,0.778116,31.07,408.4
26,OK,0.5319,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.03,0.169014,0.909091,0.103627,0.186047,25.85,404.7
27,OK,0.8255,CardinalityEdgePruning,X2,boolean,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.558923,0.794393,0.440415,0.566667,27.0,404.4
28,OK,0.5424,CardinalityNodePruning,CNJ,boolean,cosine,word_tokenizer,4,UniqueMappingClustering,0.0,0.277311,0.803571,0.233161,0.361446,26.1,404.5
29,OK,0.8887,CardinalityNodePruning,CNJ,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.51,0.509653,1.0,0.316062,0.480315,30.59,409.7
30,OK,0.6119,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.580858,0.759259,0.42487,0.54485,26.84,406.1
31,OK,0.7082,CardinalityNodePruning,CNC,tfidf,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.13,0.357447,0.931818,0.212435,0.345992,27.91,401.5
32,OK,0.936,CardinalityEdgePruning,COSINE,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.08,0.909091,0.91573,0.84456,0.878706,30.24,417.3
33,OK,0.8891,CardinalityNodePruning,SNJ,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.11,0.901333,0.917127,0.860104,0.887701,33.24,422.4
34,OK,0.9169,CardinalityEdgePruning,EJS,tf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.169811,0.904762,0.098446,0.17757,27.18,405.9
35,OK,0.6335,CardinalityNodePruning,CNC,tfidf,cosine,char_tokenizer,4,UniqueMappingClustering,0.2,0.884615,0.927273,0.792746,0.854749,30.09,408.3
36,OK,0.7263,CardinalityEdgePruning,CBS,boolean,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.5,0.364407,1.0,0.259067,0.411523,29.09,408.8
37,OK,0.5308,CardinalityEdgePruning,DICE,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.0,0.856354,0.89759,0.772021,0.830084,29.06,415.8
38,OK,0.7605,CardinalityEdgePruning,X2,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.0,0.883469,0.890805,0.803109,0.844687,30.32,417.0
39,OK,0.8014,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.0,0.857143,0.928571,0.80829,0.864266,31.32,410.6
40,OK,0.7058,CardinalityNodePruning,CNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.29,0.472441,0.983051,0.300518,0.460317,29.85,417.9
41,OK,0.7276,CardinalityEdgePruning,CBS,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.697947,0.778523,0.601036,0.678363,27.57,403.7
42,OK,0.571,CardinalityEdgePruning,JS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.07,0.454183,0.962963,0.26943,0.421053,27.59,402.9
43,OK,0.619,CardinalityNodePruning,SN-CBS,tfidf,cosine,char_tokenizer,4,UniqueMappingClustering,0.12,0.872629,0.894737,0.792746,0.840659,29.82,408.7
44,OK,0.5916,CardinalityNodePruning,SNC,boolean,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.151659,0.894737,0.088083,0.160377,25.77,406.7
45,OK,0.7854,CardinalityNodePruning,CN-CBS,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.0,0.803235,0.888235,0.782383,0.831956,37.35,410.3
46,OK,0.5727,CardinalityNodePruning,CNC,tf,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.14,0.350427,0.95122,0.202073,0.333333,30.11,403.6
47,OK,0.7455,CardinalityEdgePruning,CBS,tf,cosine,char_tokenizer,5,UniqueMappingClustering,0.0,0.794286,0.902597,0.720207,0.801153,38.05,416.2
48,OK,0.6641,CardinalityEdgePruning,CBS,tfidf,cosine,word_tokenizer,3,ConnectedComponentsClustering,0.02,0.329004,0.956522,0.227979,0.368201,35.82,403.6
49,OK,0.6592,CardinalityEdgePruning,COSINE,boolean,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.547231,0.821782,0.430052,0.564626,26.92,404.1
50,OK,0.9393,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.710227,0.738095,0.642487,0.686981,28.08,401.7
