config_id,status,vectorizer,similarity_distance,top_k,similarity_threshold,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,smpnet,cosine,48,0.275,0.275,0.166667,0.090909,1.0,0.166667,587.65,6476.7
2,OK,st5,cosine,48,0.1025,0.1025,0.166667,0.090909,1.0,0.166667,2210.38,6868.7
3,OK,xlnet,cosine,38,0.4219,0.4219,0.166667,0.090909,1.0,0.166667,3140.08,15544.3
4,OK,sminilm,cosine,14,0.2327,0.2327,0.166667,0.090909,1.0,0.166667,224.3,6362.8
5,OK,albert,cosine,36,0.1988,0.1988,0.167064,0.090909,1.0,0.166667,2022.2,13510.7
6,OK,xlnet,euclidean,15,0.4492,0.4492,0.541667,1.0,0.27027,0.425532,3111.93,13094.1
7,OK,sent_glove,cosine,49,0.8058,0.8058,0.810811,0.852941,0.783784,0.816901,10.32,1723.2
8,OK,distilbert,euclidean,18,0.1555,0.1555,0.564706,0.52381,0.594595,0.556962,875.09,8369.2
9,OK,bert,cosine,6,0.3799,0.3799,0.166667,0.090909,1.0,0.166667,1727.74,11012.7
10,OK,bert,euclidean,39,0.2645,0.2645,0.541667,1.0,0.297297,0.458333,1719.9,8536.2
11,OK,sminilm,euclidean,35,0.1248,0.1248,0.166667,0.090909,1.0,0.166667,223.3,6429.0
12,OK,distilbert,cosine,36,0.2932,0.2932,0.166667,0.090909,1.0,0.166667,893.85,11063.0
