config_id,status,ratio,comparison_cleaner,weighting_scheme,vectorizer,metric,tokenizer,qgram,clusterer,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.6102,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.4,0.575701,0.869565,0.39548,0.543689,245.57,2628.0
2,OK,0.5422,CardinalityNodePruning,CN-CBS,tfidf,cosine,char_tokenizer,3,UniqueMappingClustering,0.27,0.835106,0.778351,0.853107,0.814016,178.48,2270.0
3,OK,0.7652,CardinalityNodePruning,SNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.23,0.804035,0.827273,0.771186,0.798246,164.26,2323.2
4,OK,0.5969,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.33,0.818421,0.747045,0.892655,0.813385,219.25,2635.7
5,OK,0.8814,CardinalityNodePruning,SN-CBS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.13,0.87165,0.861671,0.844633,0.853067,118.35,2279.5
6,OK,0.9379,CardinalityNodePruning,EJS,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.25,0.87969,0.811705,0.90113,0.854083,60.16,2296.3
7,OK,0.5206,CardinalityNodePruning,SNC,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.01,0.883469,0.854545,0.929379,0.890392,52.27,2278.4
8,OK,0.6711,CardinalityEdgePruning,DICE,tf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.406048,0.885965,0.285311,0.431624,44.62,2281.9
9,OK,0.8016,CardinalityNodePruning,SND,boolean,cosine,char_tokenizer,3,UniqueMappingClustering,0.26,0.817708,0.764706,0.844633,0.802685,62.33,2278.4
10,OK,0.6708,CardinalityEdgePruning,ECBS,boolean,cosine,char_tokenizer,4,ConnectedComponentsClustering,0.25,0.683087,0.846491,0.545198,0.66323,96.97,2279.5
11,OK,0.8623,CardinalityEdgePruning,ECBS,tf,cosine,word_tokenizer,2,UniqueMappingClustering,0.04,0.905013,0.84949,0.940678,0.892761,57.25,2273.4
12,OK,0.5957,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.225,1.0,0.115819,0.207595,43.11,2279.7
13,OK,0.611,CardinalityEdgePruning,JS,boolean,cosine,word_tokenizer,5,UniqueMappingClustering,0.0,0.165375,1.0,0.070621,0.131926,42.46,2285.0
14,OK,0.9488,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.01,0.878378,0.855643,0.920904,0.887075,52.6,2278.2
15,OK,0.5688,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.01,0.684385,0.869565,0.564972,0.684932,49.91,2269.6
16,OK,0.7381,CardinalityNodePruning,CNJ,boolean,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.4,0.784024,0.810726,0.725989,0.766021,66.28,2638.7
17,OK,0.6321,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.01,0.883469,0.854545,0.929379,0.890392,52.53,2276.7
18,OK,0.7285,CardinalityNodePruning,EJS,tfidf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.584906,0.9,0.483051,0.628676,45.8,2284.8
19,OK,0.7427,CardinalityEdgePruning,JS,boolean,cosine,char_tokenizer,4,UniqueMappingClustering,0.25,0.660163,0.795652,0.516949,0.626712,55.38,2291.4
20,OK,0.9181,CardinalityNodePruning,CN-CBS,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.33,0.815686,0.749409,0.89548,0.815959,200.35,2638.2
21,OK,0.5385,CardinalityEdgePruning,X2,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.27,0.707547,0.807087,0.579096,0.674342,57.83,2273.8
22,OK,0.9261,CardinalityEdgePruning,COSINE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.280872,0.946429,0.149718,0.258537,43.24,2284.1
23,OK,0.8208,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,UniqueMappingClustering,0.0,0.280872,0.929825,0.149718,0.257908,43.67,2282.9
24,OK,0.6011,CardinalityNodePruning,SN-CBS,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.28,0.847594,0.802564,0.884181,0.841398,61.51,2276.7
25,OK,0.8185,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,UniqueMappingClustering,0.29,0.813986,0.805882,0.774011,0.789625,64.0,2625.6
26,OK,0.5319,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.165375,1.0,0.070621,0.131926,41.99,2281.9
27,OK,0.8255,CardinalityEdgePruning,X2,boolean,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.605607,0.889474,0.477401,0.621324,46.1,2283.1
28,OK,0.5424,CardinalityNodePruning,CNJ,boolean,cosine,word_tokenizer,4,UniqueMappingClustering,0.0,0.320755,0.888889,0.20339,0.331034,43.37,2288.8
29,OK,0.8887,CardinalityNodePruning,CNJ,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.4,0.713154,0.807971,0.629944,0.707937,65.44,2632.8
30,OK,0.6119,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.582231,0.904762,0.483051,0.629834,45.3,2284.1
31,OK,0.7082,CardinalityNodePruning,CNC,tfidf,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.02,0.875,0.861496,0.878531,0.86993,54.41,2278.2
32,OK,0.936,CardinalityEdgePruning,COSINE,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.19,0.871928,0.800995,0.909605,0.851852,59.5,2302.4
33,OK,0.8891,CardinalityNodePruning,SNJ,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.19,0.831579,0.757869,0.884181,0.816167,59.66,2321.8
34,OK,0.9169,CardinalityEdgePruning,EJS,tf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.280872,0.963636,0.149718,0.259169,42.3,2284.8
35,OK,0.6335,CardinalityNodePruning,CNC,tfidf,cosine,char_tokenizer,4,UniqueMappingClustering,0.2,0.830968,0.749415,0.903955,0.819462,60.39,2285.1
36,OK,0.7263,CardinalityEdgePruning,CBS,boolean,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.4,0.57671,0.860759,0.384181,0.53125,59.01,2634.3
37,OK,0.5308,CardinalityEdgePruning,DICE,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.18,0.652666,0.764,0.539548,0.63245,54.31,2316.4
38,OK,0.7605,CardinalityEdgePruning,X2,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.16,0.870679,0.783019,0.937853,0.85347,59.63,2301.6
39,OK,0.8014,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.25,0.874346,0.810256,0.892655,0.849462,61.77,2291.5
40,OK,0.7058,CardinalityNodePruning,CNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.23,0.818565,0.830409,0.80226,0.816092,61.84,2325.5
41,OK,0.7276,CardinalityEdgePruning,CBS,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.01,0.643234,0.873786,0.508475,0.642857,48.26,2271.0
42,OK,0.571,CardinalityEdgePruning,JS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.14,0.664372,0.8867,0.508475,0.64632,52.1,2275.5
43,OK,0.619,CardinalityNodePruning,SN-CBS,tfidf,cosine,char_tokenizer,4,UniqueMappingClustering,0.2,0.830968,0.75,0.898305,0.817481,61.67,2281.6
44,OK,0.5916,CardinalityNodePruning,SNC,boolean,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.280872,0.944444,0.144068,0.25,43.21,2288.9
