config_id,status,vectorizer,similarity_distance,top_k,similarity_threshold,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,smpnet,cosine,5,0.7735,0.7735,0.377994,0.300193,0.467669,0.365667,781.08,2571.1
2,OK,sdistilroberta,cosine,2,0.8771,0.8771,0.260173,1.0,0.184962,0.312183,387.78,1117.1
3,OK,sminilm,cosine,2,0.7656,0.7656,0.588745,0.998408,0.471429,0.640449,224.79,897.0
4,OK,xlnet,cosine,4,0.9148,0.9148,0.380888,0.251594,0.890226,0.392313,3180.3,15495.2
5,OK,xlnet,euclidean,4,0.8348,0.8348,0.010679,1.0,0.003008,0.005997,3086.27,13138.4
6,OK,sent_glove,cosine,3,0.9094,0.9094,0.137143,1.0,0.077444,0.143754,8.32,1722.0
7,OK,bert,euclidean,3,0.7646,0.7646,0.010679,1.0,0.003008,0.005997,1836.83,8717.1
8,OK,bert,cosine,2,0.814,0.814,0.376442,0.954315,0.282707,0.436195,1821.82,8719.9
9,OK,bert,euclidean,5,0.9421,0.9421,0.010679,1.0,0.003008,0.005997,1813.06,8716.8
10,OK,roberta,cosine,7,0.7236,0.7236,0.4,0.25,1.0,0.4,1903.66,11404.2
11,OK,sent_glove,euclidean,4,0.9114,0.9114,0.075277,0.981481,0.03985,0.07659,7.23,1723.4
12,OK,sminilm,cosine,5,0.9956,0.9956,0.010679,1.0,0.005263,0.010471,226.07,907.9
