config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.05,0.973333,0.999186,0.922556,0.959343,47.8,899.8
2,OK,0.777,279525.0,0.06,0.968812,0.999178,0.913534,0.954438,43.51,902.9
3,OK,0.9062,2256311.0,0.07,0.973674,1.0,0.919549,0.958089,44.04,966.7
4,OK,0.9498,149237.0,0.04,0.971743,1.0,0.920301,0.958496,42.93,905.0
5,OK,0.8181,114708.0,0.06,0.970102,1.0,0.916541,0.956454,42.87,900.5
6,OK,0.7612,1024968.0,0.08,0.968022,0.998354,0.91203,0.953242,43.28,925.8
7,OK,0.7074,249847.0,0.02,0.965029,0.995086,0.913534,0.952568,42.84,900.5
8,OK,0.882,1229937.0,0.05,0.973312,1.0,0.920301,0.958496,42.97,928.5
9,OK,0.7617,1508451.0,0.05,0.968073,0.998357,0.913534,0.954064,44.54,944.3
10,OK,0.9266,103038.0,0.03,0.971809,0.999185,0.921805,0.958936,42.97,898.6
11,OK,0.9256,2490455.0,0.03,0.971787,0.999185,0.921805,0.958936,44.73,967.2
12,OK,0.7953,204625.0,0.06,0.968404,0.999179,0.915038,0.955259,43.09,899.7
13,OK,0.968,471182.0,0.03,0.970554,0.999184,0.920301,0.958121,42.98,910.0
14,OK,0.726,156110.0,0.02,0.965842,0.994281,0.915038,0.953015,43.42,902.2
15,OK,0.9373,1612323.0,0.02,0.971026,0.99837,0.921053,0.958154,44.5,943.4
16,OK,0.926,2880471.0,0.08,0.972036,1.0,0.918797,0.95768,44.8,979.0
17,OK,0.8501,8835508.0,0.06,0.972463,0.999182,0.918045,0.956897,49.17,1161.3
18,OK,0.806,1270811.0,0.05,0.968578,0.998363,0.917293,0.956113,43.52,937.0
19,OK,0.9322,1725994.0,0.04,0.971361,1.0,0.919549,0.958089,43.8,962.1
20,OK,0.9413,1427921.0,0.03,0.971765,0.999183,0.919549,0.957713,44.45,942.9
21,OK,0.8973,123494.0,0.06,0.973695,1.0,0.921053,0.958904,42.51,911.5
22,OK,0.7638,379119.0,0.06,0.968073,0.998357,0.913534,0.954064,43.67,907.7
23,OK,0.7223,292133.0,0.02,0.965029,0.996724,0.915038,0.954136,43.34,904.4
24,OK,0.7283,359705.0,0.02,0.965842,0.99509,0.914286,0.952978,43.51,918.1
25,OK,0.878,536616.0,0.06,0.973695,0.999184,0.920301,0.958121,43.14,910.6
26,OK,0.8037,262430.0,0.04,0.968983,0.998363,0.917293,0.956113,43.0,906.7
27,OK,0.7748,7469803.0,0.07,0.968022,0.999177,0.912782,0.954028,47.19,1112.7
28,OK,0.8814,1652958.0,0.04,0.972952,1.0,0.921053,0.958904,44.39,948.0
29,OK,0.7479,2872457.0,0.04,0.966955,0.998357,0.913534,0.954064,44.29,985.1
30,OK,0.7458,573998.0,0.04,0.966955,0.997537,0.913534,0.953689,42.86,916.8
31,OK,0.9771,1905458.0,0.03,0.969768,0.999183,0.919549,0.957713,46.07,964.9
32,OK,0.8559,2340068.0,0.06,0.972484,0.999182,0.918045,0.956897,51.41,969.1
33,OK,0.936,3564509.0,0.01,0.970737,0.993528,0.923308,0.957132,44.94,1009.1
34,OK,0.7641,115931.0,0.07,0.968047,0.998354,0.91203,0.953242,43.68,899.1
35,OK,0.7883,343148.0,0.08,0.968022,1.0,0.914286,0.955224,43.43,908.1
36,OK,0.7591,7688107.0,0.05,0.968073,0.998357,0.913534,0.954064,48.81,1133.8
37,OK,0.9454,425947.0,0.03,0.971765,0.999184,0.921053,0.958529,43.11,907.4
38,OK,0.8835,618391.0,0.04,0.973333,1.0,0.921805,0.959311,43.74,921.8
39,OK,0.9561,827377.0,0.04,0.970935,1.0,0.920301,0.958496,43.24,916.7
40,OK,0.7742,311354.0,0.13,0.968379,1.0,0.909774,0.952756,43.49,908.5
41,OK,0.8572,335338.0,0.04,0.972549,0.998369,0.920301,0.957746,45.89,903.5
42,OK,0.8637,6246629.0,0.03,0.97219,0.999186,0.922556,0.959343,53.39,1096.2
43,OK,0.8118,274562.0,0.06,0.970102,0.998362,0.916541,0.955704,43.32,912.2
44,OK,0.9793,1044846.0,0.04,0.969745,0.999183,0.919549,0.957713,43.75,930.6
45,OK,0.7255,124231.0,0.02,0.965842,0.994281,0.915038,0.953015,42.75,909.0
46,OK,0.7307,1798423.0,0.02,0.966222,0.99509,0.914286,0.952978,43.63,961.9
47,OK,0.9218,698746.0,0.07,0.972058,0.999182,0.918797,0.957305,43.14,917.1
48,OK,0.7178,579747.0,0.02,0.965029,0.994276,0.914286,0.952605,42.93,915.7
49,OK,0.9789,1143480.0,0.03,0.969816,0.999183,0.919549,0.957713,44.22,932.3
50,OK,0.9719,5266952.0,0.05,0.970102,1.0,0.918045,0.957272,46.8,1051.8
