config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.01,0.900042,1.0,0.829323,0.9067,985.28,231.4
2,OK,23,0.3009,7.6282,0.01,0.895472,1.0,0.841353,0.913842,962.29,229.9
3,OK,51,0.7666,5.9083,0.01,0.888794,1.0,0.820301,0.90128,969.74,230.9
4,OK,45,0.4797,1.2682,0.01,0.887372,1.0,0.821053,0.901734,885.12,211.2
5,OK,21,0.3094,6.4182,0.01,0.890213,1.0,0.821053,0.901734,942.22,231.6
6,OK,43,0.279,6.849,0.01,0.902819,1.0,0.82782,0.9058,965.19,231.8
7,OK,42,0.4776,5.0429,0.01,0.893978,1.0,0.830827,0.907598,975.87,230.7
8,OK,25,0.8285,1.0585,0.01,0.893509,0.992806,0.830075,0.904177,850.09,208.4
9,OK,59,0.2437,4.8035,0.01,0.893978,1.0,0.824812,0.903997,951.31,231.3
10,OK,25,0.2399,9.6149,0.01,0.894447,1.0,0.819549,0.900826,972.78,231.2
11,OK,29,0.192,4.4193,0.01,0.894915,1.0,0.82406,0.903545,953.35,231.9
12,OK,30,0.8627,6.4335,0.01,0.899578,1.0,0.83609,0.910729,945.21,230.9
13,OK,59,0.1391,5.1348,0.01,0.890685,1.0,0.830075,0.907149,971.95,231.1
14,OK,15,0.9758,4.4068,0.01,0.889267,1.0,0.818797,0.900372,943.87,230.4
15,OK,43,0.3639,6.6578,0.01,0.887372,1.0,0.815789,0.898551,955.3,230.8
16,OK,64,0.8755,6.1962,0.01,0.891156,1.0,0.826316,0.904899,970.26,230.7
17,OK,53,0.1626,6.9514,0.01,0.898649,1.0,0.829323,0.9067,971.28,230.7
18,OK,57,0.3604,1.7181,0.01,0.894447,1.0,0.836842,0.911175,912.58,216.9
